jid,lid
28833,268
19497,268
25187,343
26591,133
34810,373
20369,197
20957,367
1901,404
26116,25
23215,254
15527,404
23245,96
32980,367
158,367
14786,369
24175,3
8712,331
24955,343
10266,65
11386,96
20725,367
5123,159
23791,13
26408,25
28689,88
8198,268
10875,331
24414,369
21508,254
29295,83
34529,107
32748,367
32352,367
14549,25
3429,14
17226,88
6199,268
5803,268
3957,133
29289,268
20984,254
25643,343
31570,331
31966,331
34583,343
36383,133
1531,66
3086,25
6159,88
23996,14
17430,268
6002,104
11167,331
7182,186
9362,197
6497,83
31920,336
24177,25
8978,207
31734,331
34351,343
29580,43
35314,390
10534,14
15787,88
32072,326
802,14
36642,370
11065,404
18990,197
33281,25
22161,14
4704,309
20017,414
26622,88
8064,402
14423,47
15595,268
28573,47
11553,343
8540,331
29299,151
19478,136
6131,268
30809,367
10779,168
18649,254
1987,66
27222,268
29899,331
9484,321
19346,367
10483,25
36646,88
7714,373
3696,88
18376,280
19722,65
19930,14
19097,13
10594,14
10198,14
22110,25
10695,66
5488,367
8124,429
31888,343
32284,343
1217,390
19114,367
10647,25
251,45
31161,14
24595,268
31689,133
17160,110
29121,13
29946,96
16529,243
1465,88
24951,88
4192,268
36222,268
25289,83
5652,367
24893,83
8759,14
1797,268
18722,112
33505,25
21733,51
13711,325
20717,343
25342,94
34528,123
2153,88
5119,254
4830,151
34563,309
16781,90
6767,404
16101,331
2491,83
12900,268
19273,373
36386,268
1967,83
6475,3
4386,110
12204,6
19647,25
20879,297
17274,373
33991,268
36668,331
16253,321
7461,219
26511,367
6528,14
6588,65
5411,254
9492,107
25638,213
24557,110
25333,331
34347,88
2697,309
14273,371
6931,404
30021,404
13587,43
29275,25
18155,14
20777,370
15183,3
11193,268
34679,268
13870,331
3758,110
32290,83
17042,373
7023,343
28176,90
16697,338
10281,159
19221,159
20489,88
31323,267
25893,331
21364,288
23599,6
13824,336
14228,197
3180,254
28567,96
13097,7
27394,404
35907,367
1337,13
15924,14
15877,168
20781,88
20385,88
767,422
17580,25
8640,25
31924,268
24885,110
28713,271
24444,367
6641,25
4065,14
17537,328
3729,65
35770,254
27991,286
23266,331
29207,25
6557,297
31488,88
9656,83
19628,267
32222,83
34930,213
15692,14
2087,110
20168,396
21283,83
2339,331
1250,367
20887,83
12972,254
6409,25
6013,25
6414,369
29499,25
32176,88
14096,404
27451,133
23034,331
12877,367
1834,14
27500,25
33823,13
30237,139
9579,371
8894,268
32380,268
29991,83
21051,83
33840,367
12740,254
30670,371
25035,3
36215,65
21086,269
5981,113
5585,113
23878,90
21484,315
21981,367
4574,25
4178,25
7251,88
27268,25
18522,268
9582,268
12543,90
13816,363
28291,123
13753,14
13417,65
18730,190
5887,47
6663,268
16245,297
29753,268
30149,268
25979,343
22273,367
12598,147
25583,343
31213,367
4342,25
3946,25
21491,331
6623,88
25783,404
304,219
25037,25
35157,107
7351,268
14981,113
3181,343
29521,268
17085,314
32432,3
31377,367
32036,3
13970,25
33221,429
4680,370
25874,118
30595,331
24272,343
21071,280
18930,197
10578,367
25201,25
24805,25
27482,88
23153,133
462,404
7119,268
9020,110
9400,331
7991,197
5415,186
18736,331
14520,61
27536,324
12035,168
34252,14
7079,88
4159,267
28082,268
27686,268
11693,404
10344,321
16357,83
20839,280
20206,367
19810,367
31782,429
223,14
5080,88
4684,88
22917,14
22977,65
9694,404
24969,25
31435,321
5175,325
28661,325
23366,25
5573,371
3580,186
33767,322
24331,118
10291,286
32605,65
23706,66
11507,25
27880,110
13788,88
17579,367
6495,13
21082,14
10383,225
23134,25
3497,309
25811,88
4656,268
7729,331
28142,268
5487,196
6116,367
9807,65
20739,25
11799,25
2657,268
26143,268
28820,331
34365,25
31992,373
438,302
13170,52
17743,367
29353,13
31970,25
7627,404
36850,268
5288,336
7335,3
5884,367
9387,14
13848,88
35247,268
2425,268
28192,331
14892,309
21741,343
9969,369
9880,297
2385,88
12497,309
35545,83
6572,367
30135,25
12053,268
20275,25
4334,351
35304,371
14788,309
5662,331
3461,197
26551,197
23686,83
4049,367
18672,25
3028,315
12409,88
8336,96
590,268
30306,65
23680,268
32298,25
31310,113
3605,326
4821,65
5941,96
15280,367
9394,380
18971,65
28310,336
32046,154
4737,367
9750,200
15667,254
21893,309
754,268
358,268
23844,268
23448,268
32784,268
26125,331
12515,83
23788,336
24466,22
28599,65
15572,367
35605,83
7941,297
24126,331
36533,321
10516,83
11985,268
15058,331
1052,83
23503,325
25055,13
16115,13
18732,25
3327,331
18208,25
15439,373
5566,168
6779,390
13832,254
4256,13
9946,88
33812,309
5620,404
23894,331
27590,373
9888,83
17047,343
35707,336
25784,14
22883,243
11367,232
18896,25
16320,14
35805,90
19919,123
24442,321
33716,197
15254,219
34304,367
25364,367
25405,368
16897,25
5381,14
19574,88
1492,331
33522,331
96,402
6445,113
10886,309
24342,90
13901,367
5043,369
8111,88
25511,13
1741,254
16612,14
25612,65
6309,225
3389,404
34070,321
11374,248
8449,83
24734,321
9522,268
11506,367
15110,66
28085,328
1646,367
34072,367
12537,326
26441,297
19722,309
31009,268
23133,367
22417,197
3150,14
8007,88
35240,65
4811,369
25716,14
30573,88
19150,268
3157,404
12887,331
12491,331
35146,403
35977,331
25897,25
14777,14
28970,88
7003,390
19110,88
8747,248
8518,196
24798,90
8171,88
3754,286
28778,268
35784,286
22515,331
20710,197
19314,268
18918,268
24298,117
7985,83
24009,14
15170,66
2971,25
26061,25
25665,25
14149,14
29118,309
16919,268
